FPKM Num_errors Cov
503.923445702906 1 2346
978.8702192722562 0 45571
1495.9885334962496 0 36912
781.995438972043 0 6553
2421.4485428957455 1 52983
440.3423118887286 0 205
448.9343569987526 0 209
845.2553775255813 0 32661
1034.250382410584 0 30334
1613.3907979100018 2 82622
7221.513674448866 28 1512879
3254.0215891445487 8 468104
2121.149334277402 1 89862
2768.524824986357 4 280331
4036.0045831219772 26 1003359
3434.271502337829 2 508423
2353.120782944988 0 92021
995.3460708443265 0 16450
1319.96499750652 0 54691
1209.5256229883748 0 21679
1594.205616664329 3 171443
1327.2002117746483 2 73527
621.5223935566254 0 6655
456.81039834960785 0 319
7942.26980438857 50 2096482
7967.855340435539 23 1107259
8214.052919208321 27 1705516
7994.377663463892 27 1736200
9013.269438188301 31 1978461
4338.072948287433 19 1182462
5348.113826002413 3 689674
3917.7772964184314 3 501575
2197.3278629589367 3 100250
5132.711548226065 18 565121
7186.0729872180555 39 1182618
751.5024718600793 0 9971
454.089584064767 0 1057
2351.673849039299 0 120977
713.2029209342693 0 11289
433.89827805621064 0 101
1585.202965014309 1 161988
1251.879535590916 1 94415
787.543198595389 0 8616
617.9334803041465 0 23158
10243.917602153399 87 3064098
3761.249406845858 10 529689
2921.442209974134 3 238692
1648.1570327292825 6 157679
1760.9136087990798 1 108212
2459.33683963176 3 253031
1800.0067671801153 2 67458
466.8344509779692 0 652
1277.4825229485434 3 71070
459.67441338628254 0 107
448.2183532395839 0 313
1119.973080091625 0 31284
3487.935003414159 6 488763
1923.015899512148 3 109221
1308.3567821887232 0 21014
1815.2440178036222 3 150847
5574.540585033121 8 821384
455.37839083127056 0 212
896.0190376196529 0 15017
944.6705751016261 1 22869
1546.7590541400932 0 48606
1793.784690470005 0 18372
608.7019544325605 0 4109
1038.3486515463972 0 16919
3242.916485445535 2 111720
856.5340104952277 0 7377
2460.9357824936983 3 132899
5906.03056953278 0 100358
6339.519348510146 15 957711
13292.651906834442 34 946818
25650.068245658294 30 2543499
9377.57931312824 5 940809
17951.874573056924 88 5398906
9924.041019798204 9 1300560
11980.48688261888 64 3840094
9715.3986932572 16 603817
3015.4382832911015 2 130556
2215.991856640396 0 111418
463.97043594129457 0 324
589.6290956753951 0 4941
625.7066090335064 1 10341
519.5800612367275 0 2177
655.6848083352847 0 18773
591.4005075730786 0 10600
627.0130839491095 1 18244
2006.4982488188723 0 39233
446.7863457212466 0 208
478.6485130042522 0 5348
490.5276662813687 0 2512
2892.5686371364495 2 122543
2293.467159289864 0 67800
2433.609459882685 0 69677
3092.937961644553 1 93594
1569.2640880194726 0 19360
1202.019228282161 0 30498
961.7142184304525 1 14551
1393.8697886945508 3 44126
4295.764793658685 2 99994
6772.24019203327 0 138723
10999.001684054509 5 325155
2794.4583996431847 1 133998
2542.190525600464 2 265106
531.197383491347 1 9150
1824.0578096926135 1 43733
758.6215481383124 0 8123
519.2404184278911 0 6285
2981.8591866309566 5 888445
4932.943238033846 11 1605265
871.9902924161236 0 51150
11252.335158732722 7 1026744
854.6220869437179 0 2984
767.8424313324756 0 2681
5542.658681138618 21 652833
4514.647614926937 2 191262
12683.62449551295 60 2456406
15941.963606670839 35 2905608
6313.326911461643 34 1088955
6283.250885348717 44 1788728
2107.6000253385137 9 294356
3547.02754570932 1 128802
12419.823896799626 35 1642091
4433.567204090642 10 678035
10485.403557779899 72 4388421
1132.1405246184008 0 16339
2520.906035281034 2 58680
438.9103043703913 0 613
3128.7978461943208 0 67732
2377.6183401336875 3 61986
5972.133733798932 9 315565
1375.0531227631814 0 46411
3363.095228378044 2 131517
2681.4054379362815 0 46812
2111.844762042869 1 84552
2931.711447779351 2 294125
3398.8104688521576 4 486559
9628.172104191923 5 392207
929.903955036866 1 32685
2814.5968291668414 8 605371
463.97043594129457 0 432
2039.9497870837688 1 67903
1517.7332164150746 0 44161
757.9794795499274 0 2823
448.9343569987526 0 418
449.85493326054086 0 733
4083.1952754623385 1 70334
1353.4674136777508 0 24574
1147.6374671958765 0 22974
1300.3218785067209 2 88080
1309.4921151059787 0 121926
1223.205341001386 0 42140
534.3945199680982 0 3483
5830.0708376559805 1 94996
1554.4973500058516 0 63323
2841.9700035024557 2 216322
3069.41735451617 0 50728
3595.839286547501 5 262823
1380.025645421684 0 9637
3166.750214544964 4 408373
878.171855867922 0 10834
536.1436148654959 0 624
803.3562177872415 0 1496
3347.6910913233455 4 485475
1529.6650777888008 1 38099
634.0929291197692 0 1476
750.3719396087603 1 3668
866.7225504736683 0 807
3035.4329921268427 9 471281
1819.7951543030774 2 95310
455.37839083127056 0 106
842.7785424097044 0 3335
889.1940530691156 1 10763
1298.0700651378406 0 38676
444.6383344437406 0 414
3591.6552233492007 5 219043
469.4938935120243 0 1530
1667.2821001124737 0 39198
758.9639847187842 0 1060
706.7673106753888 0 9871
1608.2425257995558 0 27328
462.5384284229572 0 323
792.8739227530123 0 4614
1045.8862183929182 0 8034
1910.042313833722 0 24898
1807.174521154711 1 63520
15187.410017435404 17 2269615
15320.367648231546 133 3915660
1956.122270048791 0 6830
446.7863457212466 0 728
7669.181355706399 3 235644
1878.7828486161266 8 170559
1350.4207742004785 0 23890
1165.591858730136 0 18721
668.7337417604716 0 16189
872.0274874165999 0 13397
884.0856416335083 0 14817
4435.632041917533 5 394414
1375.8207506178387 0 17614
597.9282301566683 0 9186
30029.043772158682 35 2341638
525.904761109384 0 1469
3357.319016096841 12 445452
3099.1947329554423 1 56270
1081.3247882911653 0 6796
476.8585036063305 0 111
1038.9540001791488 0 21282
1185.8290450373306 1 74804
3937.3934324650772 4 332697
1320.6485596958933 4 113435
1906.4955628963144 1 91419
1311.8294108672005 0 90997
9962.559722986485 9 477718
480.7639786563414 0 1231
807.0124071957623 0 26487
1917.1701090201045 5 164226
13535.20317702851 122 6499762
2855.326883677497 2 198064
444.6383344437406 0 207
969.498314557603 0 22116
1009.2888237287319 0 47457
10164.637959591922 27 1308430
10169.658534954577 77 3730749
5706.0109993200895 4 606991
3838.388393140124 6 534298
15731.418841145789 155 6616975
537.7565075440442 0 7135
3295.345577111781 2 289185
1093.4876015024697 0 21890
634.9521336307716 0 2956
161119.55290782114 367 22427604
1297.795367541775 0 19636
1759.754430566151 1 115514
2190.21881150102 6 308444
499.7543510870194 0 10237
10210.948451708511 66 2709595
469.6984660146438 0 328
1533.2085374686071 0 29265
2032.6487518287379 1 35486
1971.2478494612294 0 22025
2317.591115203835 0 51250
1277.7318051319387 0 110641
2129.028852262917 1 106550
5337.601264158569 10 464677
573.0187892897494 0 9737
857.4145016044757 0 16765
812.8074674082678 0 25542
3669.7870839393995 9 447616
2202.3810694522163 1 78949
2368.5854670129083 13 525982
