FPKM Num_errors Cov
708.617756952158 3 112059
1015.4643397251525 3 148149
451.3055862141953 2 24926
1662.4508634121642 7 763567
1156.4841465764725 1 536900
196.71969807499124 0 205
416.79820879662475 0 37462
287.88248498779205 0 3375
806.3687674330465 0 24369
638.8858703877223 0 8988
5071.987900606005 7 672577
963.9028780445353 0 86636
636.840689736405 1 35671
461.4200671663979 1 25124
691.0342801262516 3 124761
571.8442111988066 0 55569
948.1911763686282 1 106221
572.5182320684755 0 37736
690.349736709295 0 59531
861.9934959710343 0 27622
1203.9261125576184 0 115737
205.356172624625 0 535
232.32621595506026 0 3450
326.09234208617175 0 1869
459.36225356501643 0 10292
229.44234053527026 0 2391
371.45853458903616 0 17516
254.33617875102019 0 6361
511.7694442077552 0 63064
523.0292994771835 0 21393
330.1052494526682 0 2322
687.1061866231775 0 25777
1780.549268802814 0 114113
981.7741801221032 0 46551
562.6523871109789 0 45441
665.7087950150132 0 12834
1158.4153044947934 0 165383
554.4835305790182 0 22824
992.2899608438381 2 351838
515.1270036512674 0 44421
451.9703698357357 0 22019
451.50825760703134 0 22467
309.63360607575856 0 4840
259.7339753445413 0 203
506.55093048510093 1 20719
686.5831214523663 0 98200
431.3808313509376 0 5844
289.8149375306986 0 10948
1177.0442307775372 0 192881
448.8175178076341 0 6431
429.03360591850105 0 13301
352.4078695540213 0 5325
548.9372115179403 0 13300
316.73927693537786 0 4621
522.1018023674533 0 27884
662.2426105640737 0 41062
561.9392993949641 0 76859
512.6423287774446 0 32721
198.3190452138123 0 155
1056.7335801005065 0 24502
883.1973775037769 1 118498
611.2464002639241 0 44429
437.2949269476252 0 15266
245.5612991605269 0 4990
886.4003798761703 2 54268
360.9279827802901 1 31312
279.55817216886794 0 30225
474.1321712575725 2 27669
601.0709642715682 0 86909
537.7278807610603 1 57297
369.3729022166934 0 22999
817.8014966064419 1 45594
200.20459131431713 0 991
348.9587298420648 0 6182
574.4029453154269 0 23195
231.40268317113953 0 422
855.8998341692346 1 48387
768.2160656869632 1 75452
206.63565033568187 0 646
506.0947795447486 0 9625
414.51490517556846 0 11555
1774.8975856418974 2 232588
639.7598305728703 0 10167
943.5684540163477 0 50885
333.2021670942036 0 7639
531.8286192905424 0 7759
211.43369175214505 0 661
956.686809185727 2 44863
625.2287960715943 0 74602
227.67391955605953 0 2076
289.6417668404952 0 3622
321.0055157317898 0 9701
449.70700215577006 0 61157
710.1293218022196 1 111003
391.58110709344754 1 6427
233.6646169817579 0 1948
1747.16176455188 2 383258
1142.9249749272544 2 299247
787.9256376999207 0 15806
676.3078022543921 2 33653
720.5439657326722 1 47305
770.9727672301359 2 111676
497.61020645852795 0 18668
3371.376555435139 3 238025
616.4116890480327 2 48498
622.0295282694279 0 24470
241.53340490475753 0 2517
214.64518080689777 0 1398
783.6806687081886 2 228871
572.5059229757223 0 23715
596.4218009159362 0 23618
737.937059320341 0 107852
348.0179374074642 0 16048
735.9029653631858 0 20514
200.64536832482477 0 575
227.69585345967766 0 2966
627.8510499598732 1 38766
388.5284596413672 0 6883
705.3402367297338 1 68909
599.5897273538841 1 63420
699.2650328475955 0 11477
655.2946108575916 1 9731
1535.9667752482583 1 315722
408.3759076899288 0 2447
196.9596001458144 0 821
1088.6626297159964 0 20988
824.1984487480174 0 88251
4768.380796797792 4 204975
218.29002339943884 0 2616
733.0834383888133 0 51184
222.14170164348994 0 3646
690.5313591946981 0 25006
223.49081079460427 0 2853
624.814567071774 0 47043
687.0622665205897 4 238780
811.663474308984 0 110592
1095.4540384570137 1 170093
1134.3946342592471 1 218401
1267.225085518767 0 116870
982.7996541600685 2 586848
777.1669533740717 6 399473
1282.605323239437 2 81198
205.79906875537543 0 2091
500.9688354500522 0 28191
1046.7189251838518 0 187341
892.8647965969611 3 114445
726.6780604052389 0 92765
653.486132712782 0 45967
2579.124450430325 2 485799
423.7027449850628 0 26713
662.1521624493087 1 58997
1711.4552997822764 2 105672
586.000791664039 0 8244
1107.6932888280269 0 50790
3340.2223656623855 3 187094
1303.3618663195155 12 1520870
1601.8854384683252 9 904767
1462.7935523486353 16 2019784
1034.6249085328968 5 154718
379.28312352636624 0 11561
495.44437923583223 0 134883
549.9394297052224 2 313049
1061.2430315997644 2 323203
638.1154459953407 0 165745
601.1115853908243 1 111345
686.5466025114837 0 101772
201.73098577663058 0 946
745.8215439686426 0 47993
297.3986004637774 0 3719
385.15873141325494 0 17861
197.46606007310774 0 463
281.99688751693054 0 3306
313.8343691802019 0 9239
343.0661924997376 0 6882
203.93762124932283 0 1222
436.19064053899086 0 7841
268.2487296694506 0 7897
599.6027686834948 0 106223
822.9647070176552 0 106343
207.4498634245362 0 1189
479.87940504108815 0 12752
814.2982410588022 0 56218
670.4357025215003 1 84188
6910.814948497472 3 304272
256.65159722244977 0 4413
710.2029949542919 0 45886
816.4663581661194 1 95506
453.8474329515754 0 40792
4911.252508116714 0 541226
4664.879773684959 4 583348
684.6934778088028 0 59400
198.95878406934074 0 311
839.9515277546031 0 16412
550.4198817190907 0 57789
1501.964668590629 0 73955
1395.1606979113621 3 260609
544.4177660546912 0 39146
405.0731657079253 0 8548
584.1911194220304 0 44441
13737.218497727265 3 669247
338.98971265978207 1 7860
338.83458932004 0 5473
342.29791940509233 0 12128
2837.0882869432457 0 110869
1735.3030115396107 0 89061
440.4580161354601 1 50375
487.93829417040354 0 35212
684.8355237750615 0 11597
191.92165665852804 0 100
255.5034442031436 0 4127
1005.8899314422541 2 77569
358.6356927410106 0 6260
302.54840580296974 0 13636
483.24654596416354 0 15863
398.42712757593375 0 71414
311.2217015261658 1 16135
297.0947245074014 0 2709
329.853089611803 1 23546
284.11786787641324 0 3849
237.8752346360186 0 6631
202.39011065808413 0 1160
305.33284066044143 0 9466
276.25511454789586 0 9860
269.8713756706071 0 3656
270.417614231866 0 4227
289.39335760404003 0 7087
498.0196645623129 1 43854
557.789627184422 0 56383
1188.2851688484468 1 212988
986.7570150035301 0 165812
1279.762243402928 0 232385
943.2398514804281 3 184056
3498.275202956707 8 1394413
628.0236377365625 1 15707
2116.1485965102625 0 321411
871.3547849847424 0 28603
545.725058498597 0 16350
845.6433757435047 0 64771
464.6423307702964 0 7263
660.5703520115712 0 11014
302.3302519362477 0 12681
205.87959532460278 0 1180
698.7658495350545 2 73546
201.03793534980812 0 419
403.431507798236 1 13243
344.1795042742936 0 1614
446.179467399746 0 8718
774.2100721067419 0 40945
1006.7147235089715 2 399703
550.3216417785678 0 10036
597.4382521153494 0 40935
251.93900344333335 1 12799
204.84438154020225 0 1601
336.0969499532272 0 3590
201.243565696228 0 734
205.53064685795093 0 2945
751.9394547052799 0 78359
499.89946804938955 0 24354
288.8420932710847 0 5117
2754.671465476708 15 1292497
1746.4137880864826 1 190637
992.4142324060842 0 188222
441.1343070237175 0 13906
333.33383806935376 0 9292
285.0849828737864 0 13146
799.6111558636526 0 17082
207.0194936489989 0 1618
325.8852177039193 0 14518
2800.283991378698 0 352367
1414.3964296917452 0 21372
573.6325071238227 0 6725
259.6078296547188 1 9604
265.4002337792216 0 968
814.3095461540863 0 52188
259.09423648901287 0 945
377.24465860497634 0 8747
569.481674974152 1 23293
201.3044932062783 0 944
445.44322817709445 0 9632
565.2258238297667 0 68326
214.07261453119983 0 2677
278.16645111945405 0 2319
226.46755485706308 0 767
211.23013847993147 0 1816
472.3671774508021 0 9845
663.0328762091383 0 17619
823.2437740268286 0 49329
886.8119525926264 2 158952
2190.8353456683026 0 132417
522.2903279928844 0 13879
967.4648208971297 0 59231
1257.0514412136063 5 266250
231.23817889400362 0 4217
1310.258815127171 2 142344
288.213384395824 0 8710
435.8976035393839 0 30548
819.4764827451085 0 70666
245.36619328332048 0 10867
217.41981961458964 0 1586
532.4217980015663 1 25661
841.1329480141909 0 26077
836.0219435085866 0 59678
562.4042700312789 0 7619
278.6758084147525 0 10019
1061.7322296103753 0 19639
249.7380557269096 0 1041
1116.315550588991 1 51767
390.5274813593013 0 5901
394.49742579566407 0 16033
266.80062916407064 0 4518
537.5643934215303 0 26329
210.6988565802543 0 2031
1213.7778438410016 1 107830
943.3184518109998 0 220689
990.5596267062449 0 93419
