FPKM Num_errors Cov
14369.857441736787 3 309426
13125.887725488312 0 275952
8192.249127518504 0 145868
12164.360719208393 3 236818
3779.442415265396 0 9020
6837.627460423581 1 60324
7658.54363109909 0 51753
3541.0084322140588 0 12534
8141.882108872896 0 67464
4698.046557434363 0 13480
6548.335332192304 0 90433
7605.377738423202 4 136846
6290.704633249535 0 83670
6709.91901725698 1 67834
4239.499338457285 0 63891
8911.484546979802 2 132388
19776.62992576555 0 203114
9515.328700048953 0 38274
5826.256655615082 0 138268
7273.3493339857205 0 39203
5718.8938211263785 0 29291
5415.853435374229 0 34129
5471.337591429419 3 118988
3800.193234143424 0 6420
8168.45857820325 0 66589
3945.486704900352 0 23382
9412.130498618664 0 48207
8196.943165289575 2 146611
4274.410210579122 0 7565
9509.828186711215 0 40802
13415.881837683246 3 225567
5950.513123625515 0 41647
3246.05290740372 0 11577
5066.830625363703 0 94430
9460.958277506985 0 50233
4224.915635419169 0 48943
6264.331434044827 0 18982
23496.615328501994 2 502802
13622.427493152152 1 81826
11982.13927767103 2 213028
13448.30926216911 1 248471
13293.74390373517 0 240981
8385.79202378978 1 111311
4242.206282428925 0 52101
4924.3455246526555 0 79758
11363.614712029594 0 144134
6554.549891589653 0 68724
17651.712794319476 4 490383
8048.585412596967 0 42734
60768.03687174081 5 382941
340386.08531971165 13 2281921
4514.616243728156 1 34866
4516.2269080305805 0 14896
4626.232121720862 0 17864
9758.80334462709 5 830339
5292.247121544079 0 88697
4380.5747043132105 0 5521
4405.198107360189 1 34966
2040.770165885392 0 3776
4534.010449906544 0 26505
6511.904672428744 0 39639
6308.1449712853255 0 50578
6824.706930851812 0 140002
9603.988857401691 2 182079
4135.400406784007 0 50013
6163.922708325704 0 29091
7948.842355089125 0 67996
6791.217597403039 0 52448
6227.266223354749 0 43083
9078.050489895219 1 182819
3832.7323200590545 0 49847
3579.762774994621 0 30814
4010.3913425602545 0 59793
5461.988341598171 1 112926
5444.8094731450465 0 69937
2506.5293224268426 0 2823
4176.304117528017 1 46812
10904.383614683982 0 20761
7335.051334052436 0 87529
4076.995482203949 1 30721
6033.969479651494 0 71356
9307.564148656073 0 35192
8753.498751914052 0 74175
14199.13954832625 4 387994
7183.651461314541 1 149677
7231.590145451845 2 150288
10797.251570020211 7 251896
8431.656673783842 4 188794
