ErrorRate Weights ExpressionLevel
3.6707215904502506e-06 75452857567.26666 271.32332511268544
4.662526343273839e-06 46766620485.60001 256.9613305187943
4.269278384372433e-06 1163770912726.198 928.647688000832
5.747846667014505e-06 539696862410.77045 817.8179993982112
4.410830927544867e-06 291329415241.3486 438.3838244332978
3.857552457970256e-06 585830948370.3639 503.7980268385463
4.093147063148425e-06 1194973777553.1316 723.0261838465359
1.308431269413849e-06 593690398667.4098 293.58425173969374
2.6922152184722926e-06 798835196136.7697 578.319968577965
4.409499018314462e-06 214790157597.8092 382.79683240436
5.536886560714678e-06 8243035649046.855 17034.862738454052
4.814254838754308e-06 4459579285998.933 2846.796803597207
5.316222927581707e-06 2108958691667.6611 1526.037329486341
4.914718686186196e-06 1375827390657.7827 1064.568860582155
5.604768032138689e-06 1449422646648.124 1238.1134157395272
5.619871866921434e-06 32181703331.147533 247.20804802380803
6.875573773504032e-06 128302169457.42126 644.4941677405628
5.93051627432534e-06 3113535934470.948 4415.097727874924
5.041181997574467e-06 3140266484924.229 2048.1958640325656
1.7638867636267427e-06 918828603846.8152 332.5349315156447
