ErrorRate Weights ExpressionLevel
5.060875632338834e-06 63780755229.04911 3206.9947499727623
4.685648831636779e-06 703288309601.0883 12288.00311338672
8.040122629418582e-06 61555636527.71649 3969.2371570564324
1.1117114036227942e-05 30939449922.23863 9758.469091119454
5.322548450190995e-06 173907841592.66992 10877.841719479913
0.0 0 2190.500614495905
3.7660949372992885e-06 433657168864.36774 5179.2065304372845
3.295235568450229e-06 373739483411.28705 5690.63597152116
3.0513294642475725e-06 113722232903.99997 4537.071097077452
6.622189761174609e-06 77422215025.13023 8513.255154119493
4.147133644282799e-06 136424494716.52449 3573.9383395565173
8.011675269089296e-06 159288394919.74002 6859.6414539966045
0.0 0 2358.605945600613
1.6024992091153235e-05 10204119728.854101 2917.0650067461133
0.0 0 2011.248371433574
0.0 0 2601.2595620946754
0.0 0 1983.461912718535
3.988776824796136e-06 1300072641771.5764 18873.185303565206
0.0 0 2099.756647024516
0.0 0 2042.4026095303884
