ErrorRate Weights ExpressionLevel
3.1262211801484955e-06 103702718538.85136 227.47018812848512
6.2531779728188215e-06 6565852969120.279 9898.308205213598
5.86886348121878e-06 327650960398.9787 404.44651591168673
5.614623541310325e-06 1695393897696.3594 1123.167774593245
7.617942768754834e-06 29117282342.782867 204.39668747064678
4.639725062335421e-06 1239011587912.2644 783.6118015149747
5.201788747932071e-06 1498600079835.4878 862.1411491349144
3.695964610882208e-06 468077373183.62885 455.3766414839067
6.19427228733935e-06 389737024970.0157 502.9174267216119
5.254853288151567e-06 4597900081643.694 1404.9157025277086
2.766040806171696e-06 1742980876673.087 657.7212170588424
9.094480741527582e-07 1225170450445.6536 274.9353565021722
5.1107397931762005e-06 830028016935.2495 716.5408150903692
6.122947869911376e-06 524923798875.64197 558.0270700138182
6.0342640315801266e-06 221408587263.26184 340.69863926729533
6.294841761250485e-06 885518864646.1921 3381.33271754973
4.813845831148186e-06 2046987100705.5813 970.4312942596946
0.0 0 196.41686684735163
5.415362145337546e-06 711145446049.1035 606.7672860923561
6.4288955009994885e-06 1005186001327.6776 1888.494835794924
