ErrorRate Weights ExpressionLevel
6.554472890006e-06 1767310272996.2563 88920.73937439705
7.0841742125920895e-06 494814918898.8656 26118.62147618617
7.674151259047066e-06 83156020054.92778 5619.847198657034
6.961335339012689e-06 315618441047.57874 11757.08184775744
6.440481370849356e-06 220894327795.64877 16085.59314588138
4.832759035274072e-06 265124571393.44238 8843.974017112918
1.528667358521007e-06 1176459347903.1252 7027.738301786858
2.7075649722000193e-06 268186309840.38177 3164.9835262078323
4.4980006387160906e-07 5018703668778.464 3702.498778673865
6.775450466862766e-06 121231347214.07364 4458.5639867640775
0.0 0 1689.9385463189278
0.0 0 1146.1826724715079
8.689243473288838e-06 52636838300.345505 2605.5881266655088
2.2370463829197035e-06 202899324513.6 2115.8960750627903
0.0 0 1506.0963481812882
8.240017197143768e-06 26107491015.74095 2847.7025311504563
1.264259264175823e-06 635269916290.9851 2244.294706632217
2.03622028645547e-06 244895643285.78452 1850.5548561405833
0.0 0 2412.127349160475
0.0 0 1992.4471024644563
