ErrorRate Weights ExpressionLevel
5.2381253759351906e-06 76715098757.21756 2304.210418996821
6.25350061160565e-06 84991633972.35202 2601.4746388944027
4.984938471962021e-06 225746164856.7325 3377.7878786983283
0.0 0 1720.3778520728295
3.1526845108609982e-06 104078789068.96547 1812.3506859526196
0.0 0 1466.47793186071
6.775067750677507e-06 22536993103.448284 1604.731007261464
1.813599840076111e-05 3947002282.759044 1908.7476787480596
2.7300027300027303e-05 1388024379.3103445 1660.3766851945459
0.0 0 1512.9642438392405
2.844996938468162e-06 255627295525.18893 2195.6539082652284
5.214981650556884e-06 423778691222.2081 27377.77277696221
0.0 0 1555.8271571071577
1.242066301499174e-06 670553909068.9653 2085.770086059994
6.292326216986313e-06 222868746848.95956 3004.9685097917795
1.5641499305901202e-05 7204410931.947919 1993.4378175594677
6.509444815353451e-06 159371406432.3526 4609.781764352847
2.0221517089074983e-05 3677223946.736731 3802.0922427159435
0.0 0 2445.044046060102
6.275977861248954e-06 71664979311.80217 2791.2364078223686
