ErrorRate Weights ExpressionLevel
6.5206226222485084e-06 672708607579.2734 17837.2978329973
3.5541816379364127e-06 331050541723.8056 3909.302696170135
4.849490635508128e-06 461090129242.56476 6543.485083135785
1.482500513230833e-06 921127734264.9445 3550.7241702777887
6.942190725740716e-06 215294864406.65536 5059.740938006353
6.055231479323578e-06 267115070242.09174 4329.55585410808
5.593738385847713e-06 99214167884.64421 3290.4296380595547
0.0 0 2061.801835767486
6.384051474182752e-06 71176962424.79349 2528.5730340761374
0.0 0 2125.064451700557
2.3727943255718523e-06 528941504038.32007 2893.5302400067917
1.8872054938076317e-05 20843037916.536163 3099.5168408843033
1.22684333210649e-05 6747690726.562501 1931.8213254504867
1.367259601580552e-05 5438468543.016665 2011.1554610993946
6.129704548240775e-06 27065755525.423725 2393.7893738874254
2.0409829373826436e-06 244129628745.7626 2291.387015303451
0.0 0 1972.731969529238
4.348204191668841e-06 53787254644.06782 2198.926810983758
0.0 0 1880.9519958700334
6.08472716765174e-06 84684859334.6797 2690.9659326070114
