Pos	Weights	Type
0	1957638668.71	E. coli
198	16077552484.7	E. coli
818	7713774324.83	E. coli
819	7913436519.78	E. coli
346	11479389762.3	E. coli
347	11565322472.7	E. coli
340	12384310355.6	E. coli
341	12251597708.2	E. coli
342	12152783565.8	E. coli
343	12007528471.5	E. coli
810	7296483727.22	E. coli
811	7375128259.02	E. coli
812	7430891299.89	E. coli
813	7435467598.07	E. coli
348	11398880812.7	E. coli
349	11322100698.7	E. coli
816	7467671177.9	E. coli
817	7482417027.62	E. coli
737	7149025230.1	E. coli
719	9372597671.21	E. coli
718	9366326447.77	E. coli
717	9435479398.14	E. coli
716	9465310082.62	E. coli
715	9432767517.74	E. coli
714	9591243029.01	E. coli
713	9736328630.78	E. coli
712	9806329043.78	E. coli
711	10087856128.5	E. coli
710	10294806502.1	E. coli
421	10527858724.5	E. coli
420	10762097394.7	E. coli
423	10388705361.2	E. coli
422	10381925660.1	E. coli
195	15528396702.3	E. coli
425	10414298732.5	E. coli
424	10333789782.9	E. coli
427	10241585849.1	E. coli
298	13129230004.8	E. coli
299	12908720229.2	E. coli
296	13081602605.2	E. coli
297	13027364997.0	E. coli
294	13118890960.8	E. coli
295	13072280516.3	E. coli
292	12900754080.6	E. coli
293	13044653234.6	E. coli
290	12777363522.0	E. coli
291	12939567868.9	E. coli
591	9802600208.22	E. coli
590	9505988288.72	E. coli
593	9757345703.93	E. coli
592	9830905459.97	E. coli
595	10001923418.1	E. coli
594	9822261341.17	E. coli
597	9874465039.0	E. coli
596	9852092025.65	E. coli
599	9341580539.05	E. coli
598	9376665491.82	E. coli
197	15270598571.1	E. coli
196	15246530632.5	E. coli
191	16200095580.6	E. coli
190	16560436689.6	E. coli
193	15618566725.8	E. coli
192	15951280553.2	E. coli
270	12488717751.2	E. coli
271	12425497039.2	E. coli
272	12468209155.7	E. coli
273	12575158939.2	E. coli
274	12755837971.3	E. coli
275	12808550146.7	E. coli
276	13048382070.2	E. coli
277	13111263797.1	E. coli
194	15516193240.5	E. coli
279	13152111495.8	E. coli
738	7169194840.62	E. coli
497	8522762148.7	E. coli
344	11779222039.8	E. coli
524	11398711320.2	E. coli
525	11422270781.2	E. coli
526	11390406186.4	E. coli
527	11448881107.7	E. coli
520	11113794384.9	E. coli
521	11265659687.7	E. coli
522	11344982189.6	E. coli
523	11252778255.8	E. coli
528	11634136438.0	E. coli
529	11715662342.7	E. coli
449	8403100425.75	E. coli
826	7932080697.58	E. coli
345	11661085749.6	E. coli
443	8920730598.41	E. coli
442	9042765216.72	E. coli
441	8865815020.17	E. coli
440	9169037148.17	E. coli
447	8604966023.54	E. coli
446	8880560869.89	E. coli
445	9136833568.34	E. coli
444	8970222415.84	E. coli
108	22527929525.0	E. coli
109	21886739301.3	E. coli
102	25445743350.2	E. coli
103	24254549881.5	E. coli
100	26783717346.0	E. coli
101	25762524880.3	E. coli
106	23261832160.1	E. coli
107	22554709344.0	E. coli
104	23732343410.7	E. coli
105	24344380920.0	E. coli
902	12450581933.0	E. coli
903	12474141394.0	E. coli
39	22451318903.5	E. coli
38	22071486154.0	E. coli
906	12699396960.3	E. coli
907	12597870937.6	E. coli
904	12563972432.5	E. coli
905	12649227172.8	E. coli
33	20304526576.4	E. coli
32	20089440561.6	E. coli
31	19422826459.1	E. coli
30	19006383324.1	E. coli
37	21785891248.6	E. coli
36	21194362334.9	E. coli
35	20533341485.7	E. coli
34	20516900710.7	E. coli
641	9693955499.42	E. coli
640	9816498595.31	E. coli
643	9884126112.95	E. coli
