Pos	Rate	Type
0	0.0	E. coli
198	0.0	E. coli
818	0.0	E. coli
819	0.0	E. coli
346	0.0	E. coli
347	0.0	E. coli
340	0.0	E. coli
341	0.0	E. coli
342	0.0	E. coli
343	0.0	E. coli
810	0.0	E. coli
811	0.0	E. coli
812	0.0	E. coli
813	8.97461572539e-05	E. coli
348	9.16758342501e-05	E. coli
349	0.0	E. coli
816	0.0	E. coli
817	0.0	E. coli
737	0.0	E. coli
719	0.0	E. coli
718	0.0	E. coli
717	0.0	E. coli
716	0.0	E. coli
715	0.0	E. coli
714	0.0	E. coli
713	0.0	E. coli
712	0.0	E. coli
711	0.0	E. coli
710	0.0	E. coli
421	0.0	E. coli
420	0.0	E. coli
423	2.34064864055e-06	E. coli
422	0.0	E. coli
195	2.94707061181e-06	E. coli
425	0.0	E. coli
424	0.0	E. coli
427	0.0	E. coli
298	0.0	E. coli
299	0.0	E. coli
296	0.0	E. coli
297	0.0	E. coli
294	0.0	E. coli
295	0.0	E. coli
292	0.0	E. coli
293	0.0	E. coli
290	0.0	E. coli
291	0.0	E. coli
591	0.0	E. coli
590	0.0	E. coli
593	0.0	E. coli
592	0.0	E. coli
595	0.0	E. coli
594	3.66837857667e-05	E. coli
597	1.65499344623e-06	E. coli
596	0.0	E. coli
599	0.0	E. coli
598	0.0	E. coli
197	0.0	E. coli
196	0.0	E. coli
191	0.0	E. coli
190	0.0	E. coli
193	0.0	E. coli
192	0.0	E. coli
270	0.0	E. coli
271	0.0	E. coli
272	0.0	E. coli
273	0.0	E. coli
274	0.0	E. coli
275	0.0	E. coli
276	0.0	E. coli
277	0.0	E. coli
194	0.0	E. coli
279	0.0	E. coli
738	6.52826739783e-05	E. coli
497	0.0	E. coli
344	0.0	E. coli
524	0.0	E. coli
525	0.0	E. coli
526	0.0	E. coli
527	0.0	E. coli
520	0.0	E. coli
521	0.0	E. coli
522	0.0	E. coli
523	0.0	E. coli
528	0.0	E. coli
529	0.0	E. coli
449	0.0	E. coli
826	0.0	E. coli
345	0.0	E. coli
443	0.0	E. coli
442	0.0	E. coli
441	0.0	E. coli
440	0.0	E. coli
447	0.0	E. coli
446	0.0	E. coli
445	0.0	E. coli
444	0.0	E. coli
108	3.50140056022e-05	E. coli
109	0.0	E. coli
102	0.0	E. coli
103	0.0	E. coli
100	4.50612833453e-05	E. coli
101	0.0	E. coli
106	0.0	E. coli
107	0.0	E. coli
104	0.0	E. coli
105	7.3586766156e-06	E. coli
902	0.0	E. coli
903	0.0	E. coli
39	0.0	E. coli
38	0.0	E. coli
906	0.0	E. coli
907	0.0	E. coli
904	0.0	E. coli
905	0.0	E. coli
33	0.0	E. coli
32	0.0	E. coli
31	0.0	E. coli
30	9.48118932039e-06	E. coli
37	0.0	E. coli
36	1.66950482487e-05	E. coli
35	0.0	E. coli
34	0.0	E. coli
641	0.0	E. coli
640	0.0	E. coli
643	0.0	E. coli
642	0.0	E. coli
645	0.0	E. coli
644	0.0	E. coli
438	0.0	E. coli
439	0.0	E. coli
436	0.0	E. coli
437	0.0	E. coli
434	0.0	E. coli
435	0.0	E. coli
432	0.0	E. coli
433	0.0	E. coli
430	0.0	E. coli
431	0.0	E. coli
753	2.02727906713e-06	E. coli
339	0.0	E. coli
338	0.0	E. coli
335	0.0	E. coli
334	0.0	E. coli
337	0.0	E. coli
336	2.63504611331e-05	E. coli
331	0.0	E. coli
330	6.09681746129e-05	E. coli
333	0.0	E. coli
332	3.81277737955e-06	E. coli
89	0.0	E. coli
559	0.0	E. coli
752	0.0	E. coli
558	0.0	E. coli
854	0.0	E. coli
855	0.0	E. coli
856	0.0	E. coli
857	0.0	E. coli
850	0.0	E. coli
851	0.0	E. coli
852	0.0	E. coli
853	0.0	E. coli
858	2.50991593575e-05	E. coli
859	0.0	E. coli
555	0.0	E. coli
749	0.0	E. coli
99	0.0	E. coli
98	0.0	E. coli
91	0.0	E. coli
90	4.79064865383e-05	E. coli
93	0.0	E. coli
92	0.0	E. coli
95	0.0	E. coli
94	0.0	E. coli
97	0.0	E. coli
96	0.0	E. coli
814	0.0	E. coli
6	3.46260387812e-05	E. coli
815	0.0	E. coli
153	0.0	E. coli
740	0.0	E. coli
741	0.0	E. coli
742	0.0	E. coli
743	0.0	E. coli
744	0.0	E. coli
745	0.0	E. coli
746	0.0	E. coli
747	0.0	E. coli
748	0.0	E. coli
554	0.0	E. coli
557	0.0	E. coli
556	0.0	E. coli
551	0.0	E. coli
550	0.0	E. coli
553	0.0	E. coli
552	0.0	E. coli
238	0.0	E. coli
239	0.0	E. coli
234	0.0	E. coli
235	0.0	E. coli
236	0.0	E. coli
237	0.0	E. coli
230	0.0	E. coli
231	0.0	E. coli
232	0.0	E. coli
233	0.0	E. coli
1	0.000104821802935	E. coli
146	0.0	E. coli
147	0.0	E. coli
618	0.0	E. coli
619	0.0	E. coli
142	0.0	E. coli
143	0.0	E. coli
140	0.0	E. coli
141	1.80844907407e-05	E. coli
612	2.23254152527e-05	E. coli
613	0.0	E. coli
610	0.0	E. coli
611	0.0	E. coli
616	0.0	E. coli
617	0.0	E. coli
614	0.0	E. coli
615	7.82472613459e-05	E. coli
11	0.0	E. coli
948	0.0	E. coli
949	0.0	E. coli
946	0.0	E. coli
947	0.0	E. coli
944	0.0	E. coli
945	0.0	E. coli
942	0.0	E. coli
943	0.0	E. coli
940	0.0	E. coli
941	0.0	E. coli
689	0.0	E. coli
688	0.0	E. coli
685	0.0	E. coli
684	0.0	E. coli
687	0.0	E. coli
1000	0.0	E. coli
681	0.0	E. coli
680	0.0	E. coli
683	0.0	E. coli
682	0.0	E. coli
623	0.0	E. coli
763	0.0	E. coli
622	0.0	E. coli
133	0.0	E. coli
132	3.15754157696e-06	E. coli
131	0.0	E. coli
130	0.0	E. coli
137	0.0	E. coli
136	0.0	E. coli
135	0.0	E. coli
134	0.0	E. coli
494	0.0	E. coli
495	3.19795330988e-05	E. coli
139	0.0	E. coli
138	7.20876585928e-05	E. coli
490	0.0	E. coli
491	0.0	E. coli
492	9.61538461538e-05	E. coli
493	0.0	E. coli
24	0.0	E. coli
25	0.0	E. coli
26	0.0	E. coli
27	0.0	E. coli
20	0.0	E. coli
21	0.0	E. coli
22	0.0	E. coli
23	0.0	E. coli
28	0.0	E. coli
29	0.0	E. coli
626	0.0	E. coli
407	0.0	E. coli
406	0.0	E. coli
939	0.0	E. coli
938	0.0	E. coli
403	0.0	E. coli
402	0.0	E. coli
401	0.0	E. coli
400	0.0	E. coli
933	0.0	E. coli
932	0.0	E. coli
931	0.0	E. coli
930	0.0	E. coli
937	0.0	E. coli
452	0.0	E. coli
409	0.0	E. coli
408	6.27258129265e-06	E. coli
628	0.0	E. coli
758	0.0	E. coli
977	0.0	E. coli
379	0.0	E. coli
378	0.0	E. coli
829	0.0	E. coli
828	0.0	E. coli
825	0.0	E. coli
824	0.0	E. coli
373	0.0	E. coli
372	0.0	E. coli
375	0.0	E. coli
820	0.0	E. coli
823	0.0	E. coli
376	0.0	E. coli
708	0.0	E. coli
709	0.0	E. coli
704	0.0	E. coli
705	0.00010175010175	E. coli
706	0.0	E. coli
707	0.0	E. coli
700	0.0	E. coli
701	0.0	E. coli
702	0.0	E. coli
703	0.0	E. coli
393	0.0	E. coli
392	0.0	E. coli
88	0.0	E. coli
145	0.0	E. coli
397	0.0	E. coli
396	0.0	E. coli
395	0.0	E. coli
176	0.0	E. coli
82	0.0	E. coli
83	0.0	E. coli
80	0.0	E. coli
81	1.552563593e-06	E. coli
86	0.0	E. coli
87	0.0	E. coli
84	0.0	E. coli
85	0.0	E. coli
797	0.0	E. coli
796	0.0	E. coli
795	0.0	E. coli
794	0.0	E. coli
793	0.0	E. coli
792	0.0	E. coli
791	0.0	E. coli
415	0.0	E. coli
799	0.0	E. coli
798	0.0	E. coli
7	0.0	E. coli
601	0.0	E. coli
586	0.0	E. coli
587	0.0	E. coli
584	0.0	E. coli
